esquema,Nx,backend,dx,dt,nt,erro_L2_rel,erro_Linf_rel,tempo_execucao_s
upwind,1024,GPU_CuPy,0.006135923151542565,0.00010756157900397978,9297,0.10402760695556457,0.3963632832576794,0.11872450000373647
upwind,1024,CPU_NumPy,0.006135923151542565,0.00010756157900397978,9297,0.10402760695556457,0.3963632832576793,0.24121969999396242
central,1024,GPU_CuPy,0.006135923151542565,0.00010756157900397978,9297,0.00023687128074893147,0.0009484330066444775,0.11924369999906048
central,1024,CPU_NumPy,0.006135923151542565,0.00010756157900397978,9297,0.00023687128074915606,0.0009484330066453882,0.20153730000311043
