esquema,Nx_i,Nx_ip1,ordem_L2
upwind,32,64,0.26980515087617946
upwind,64,128,0.4085118582928526
upwind,128,256,0.5480123572633957
upwind,256,512,0.7062428088490018
upwind,512,1024,0.8380637078462421
upwind,1024,2048,0.9183370267520276
upwind,2048,4096,0.9597423202180034
central,32,64,nan
central,64,128,nan
central,128,256,2.1596087392605976
central,256,512,2.0320349259301462
central,512,1024,2.008830834413551
central,1024,2048,2.0021902915480543
central,2048,4096,2.000546578730532
